"exclude","ne","not","clausetype","never.posn","not.posn","finite","id","year","author","prev.ne","prev.not","next.ne","next.not","has.ne","has.not","has.both","neg.type","has.ne.prev","has.not.prev","has.both.prev","prev.neg.type","has.ne.next","has.not.next","has.both.next","next.neg.type","datepd"
"contraction","contracted","-","matrix","-","-","-","CMORM,I,26.316",1200,"CMORM","contracted","-","ne","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","-","matrix","-","-","finite","CMORM,I,26.317",1200,"CMORM","contracted","-","ne","-",TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","matrix","postverbal","-","finite","CMORM,I,26.318",1200,"CMORM","ne","-","ne","-",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,29.343",1200,"CMORM","ne","-","ne","postverbal",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,29.344",1200,"CMORM","ne","-","ne","-",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","other","-","-","finite","CMORM,I,29.344",1200,"CMORM","ne","postverbal","ne","preverbal",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,30.347",1200,"CMORM","ne","-","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,31.353",1200,"CMORM","ne","preverbal","ne","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,31.354",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,31.354",1200,"CMORM","ne","-","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",1
