"exclude","ne","not","clausetype","never.posn","not.posn","finite","id","year","author","prev.ne","prev.not","next.ne","next.not","has.ne","has.not","has.both","neg.type","has.ne.prev","has.not.prev","has.both.prev","prev.neg.type","has.ne.next","has.not.next","has.both.next","next.neg.type","datepd"
"contraction","contracted","-","that","-","-","-","CMORM,I,179.1470",1200,"CMORM","ne","-","ne","-",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,179.1470",1200,"CMORM","contracted","-","ne","postverbal",TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"constituent","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,179.1471",1200,"CMORM","ne","-","ne","preverbal",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,179.1471",1200,"CMORM","ne","postverbal","-","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"-","-","-","matrix","-","-","-","CMORM,I,179.1476",1200,"CMORM","ne","preverbal","ne","postverbal",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,179.1479",1200,"CMORM","-","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"conjoined","ne","postverbal","that","-","postverbal","finite","CMORM,I,188.1555",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,189.1559",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,192.1574",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,193.1578",1200,"CMORM","ne","postverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,193.1580",1200,"CMORM","contracted","-","ne","preverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","that","-","preverbal","finite","CMORM,I,193.1581",1200,"CMORM","contracted","-","ne","preverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,193.1581",1200,"CMORM","ne","preverbal","ne","preverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","that","-","preverbal","finite","CMORM,I,193.1582",1200,"CMORM","ne","preverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,193.1583",1200,"CMORM","ne","preverbal","ne","postverbal",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,194.1591",1200,"CMORM","contracted","-","ne","preverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","relative","-","preverbal","finite","CMORM,I,195.1599",1200,"CMORM","ne","postverbal","ne","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","other","-","-","finite","CMORM,I,197.1619",1200,"CMORM","ne","preverbal","contracted","-",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,197.1620",1200,"CMORM","ne","-","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","relative","-","-","-","CMORM,I,198.1625",1200,"CMORM","contracted","-","ne","postverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,198.1626",1200,"CMORM","contracted","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,198.1627",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","relative","-","-","-","CMORM,I,199.1629",1200,"CMORM","ne","postverbal","ne","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","matrix","-","-","finite","CMORM,I,200.1642",1200,"CMORM","contracted","-","ne","-",TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","matrix","-","-","finite","CMORM,I,200.1645",1200,"CMORM","ne","-","contracted","-",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,208.1699",1200,"CMORM","ne","-","ne","preverbal",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,208.1699",1200,"CMORM","contracted","-","contracted","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,208.1700",1200,"CMORM","ne","preverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,208.1705",1200,"CMORM","contracted","-","ne","preverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,210.1725",1200,"CMORM","contracted","-","ne","preverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"concord","ne","preverbal","other","-","preverbal","finite","CMORM,I,211.1730",1200,"CMORM","ne","preverbal","ne","preverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,212.1742",1200,"CMORM","ne","preverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","that","-","postverbal","finite","CMORM,I,212.1743",1200,"CMORM","ne","preverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,212.1745",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","relative","-","-","-","CMORM,I,214.1760",1200,"CMORM","ne","postverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,214.1763",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","second-conjunct","-","-","-","CMORM,I,214.1763",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,215.1768",1200,"CMORM","contracted","-","ne","preverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
